date,text,sentiment
2025-08-11,Great food and excellent service!,positive
2025-08-11,Very disappointed with quality,negative
2025-08-11,Outstanding ramen perfect broth,positive
2025-08-11,Terrible service cold food,negative
2025-08-12,Amazing noodles will come back!,positive
2025-08-12,Food was okay nothing special,neutral
2025-08-12,Average experience decent prices,neutral
2025-08-13,Great food and excellent service!,positive
2025-08-13,Outstanding ramen perfect broth,positive
2025-08-13,Terrible service cold food,negative
2025-08-14,Amazing noodles will come back!,positive
2025-08-14,Food was okay nothing special,neutral
2025-08-14,Very disappointed with quality,negative
2025-08-14,Average experience decent prices,neutral
2025-08-15,Great food and excellent service!,positive
2025-08-15,Terrible service cold food,negative
2025-08-15,Outstanding ramen perfect broth,positive
